Variables in Model,p,SSE,R_Squared,Adjusted R_Squared,Cp,AIC,BIC
"['x4', 'x5', 'x7_3']",3,132.2039880281575,0.3435092649656988,0.32544071262530516,53.327644665805906,25.736285061186532,36.6458363360359
"['x4', 'x5', 'x7_4']",3,132.2826990245637,0.3431184065607662,0.3250390966495946,53.421909043576676,25.80354245667657,36.71309373152593
"['x4', 'x5', 'x6_2']",3,131.8969069719572,0.3450341498901639,0.32700756685961796,52.95988404772737,25.473505376259972,36.383056651109335
"['x4', 'x9', 'x10']",3,111.92120933488961,0.44422828631658384,0.4289318171326365,29.036966103984184,6.916026813944127,17.82557808879349
"['x4', 'x9', 'x7_2']",3,114.10512130221758,0.4333835455938241,0.4177885973074156,31.652421530872374,9.099752327224225,20.009303602073587
"['x4', 'x9', 'x7_3']",3,113.11567074876747,0.43829690055991066,0.4228371822266972,30.46745443587318,8.115611586827253,19.025162861676616
"['x4', 'x9', 'x7_4']",3,112.92486831083035,0.4392443760074817,0.42381073498016464,30.238949221729058,7.924843322892134,18.834394597741497
"['x4', 'x9', 'x6_2']",3,113.80822615568366,0.4348578499312593,0.41930347882845,31.296859569659716,8.805349468334851,19.714900743184216
"['x4', 'x10', 'x7_2']",3,136.9571603512188,0.31990624331216977,0.30118806652259644,59.02004918268557,29.727680685563254,40.63723196041262
"['x4', 'x10', 'x7_3']",3,136.32819623613355,0.32302951606952846,0.3043973009154788,58.266801051475255,29.207542531214116,40.11709380606348
"['x4', 'x10', 'x7_4']",3,136.12625496672604,0.32403230406680816,0.3054276885824083,58.02495596024167,29.040032934501443,39.9495842093508
"['x4', 'x10', 'x6_2']",3,137.2350320602837,0.3185264044340088,0.2997702504276055,59.352828653802106,29.956713566459527,40.86626484130889
"['x4', 'x7_2', 'x7_3']",3,156.30550340540768,0.223827387123388,0.2024648381451326,82.19164657279816,44.65998303433738,55.56953430918674
"['x4', 'x7_2', 'x7_4']",3,159.18227190152,0.20954210047882893,0.18778637847365898,85.63686775736068,46.72081629370491,57.63036756855427
"['x4', 'x7_2', 'x6_2']",3,152.22060422454794,0.24411193758046013,0.22330767898175718,77.29956672218842,41.667558269491,52.57710954434037
"['x4', 'x7_3', 'x7_4']",3,157.00163258567196,0.220370590062673,0.19891289988091165,83.02533166156346,45.16212752949336,56.071678804342724
"['x4', 'x7_3', 'x6_2']",3,150.62447898252978,0.2520378817896156,0.23145176844437565,75.38804533823023,40.47642899330781,51.38598026815718
"['x4', 'x7_4', 'x6_2']",3,151.81912298353691,0.24610558935258198,0.22535620190357042,76.81875233667046,41.36912748862044,52.278678763469806
"['x5', 'x9', 'x10']",3,137.55656156121955,0.3169297722779645,0.29812967426726633,59.73789274553664,30.221152879962617,41.13070415481198
"['x5', 'x9', 'x7_2']",3,141.25603613421083,0.29855914051526755,0.27925342878632986,64.16838765252837,33.22005010269878,44.12960137754814
"['x5', 'x9', 'x7_3']",3,136.0481864105583,0.32441997228004493,0.30582602656298197,57.93146096962258,28.975208720704973,39.88475999555433
"['x5', 'x9', 'x7_4']",3,140.68878387260273,0.3013759682050169,0.2821477838436871,63.48904570640923,32.76535409481515,43.674905369664515
"['x5', 'x9', 'x6_2']",3,140.84734659120681,0.3005885868465693,0.2813387314386767,63.67894059644115,32.892638568514734,43.8021898433641
"['x5', 'x10', 'x7_2']",3,163.97936480544956,0.18572098059921915,0.16330963144139943,91.38187161125691,50.075863782727275,60.98541505757664
